City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,fort st. john,56.2499,-120.8529,8.94,40,20,6.17,CA,1712616556
126,tiksi,71.6872,128.8694,-9.37,82,100,9.44,RU,1712616453
127,lerwick,60.1545,-1.1494,8.0,81,94,5.64,GB,1712616328
128,sao gabriel da cachoeira,-0.1303,-67.0892,27.01,75,95,0.87,BR,1712616557
129,port mathurin,-19.6833,63.4167,26.62,80,26,4.19,MU,1712616557
130,lihue,21.9789,-159.3672,26.58,65,20,6.17,US,1712616442
131,stanley,54.868,-1.6985,10.77,89,0,1.54,GB,1712616471
132,perugorria,-29.3413,-58.6106,20.73,81,18,2.68,AR,1712616557
133,pirallahi,40.4723,50.333,10.08,68,95,3.19,AZ,1712616557
134,kingston,17.997,-76.7936,31.53,65,20,5.66,JM,1712616557
135,sitka,57.0531,-135.33,4.94,81,100,2.06,US,1712616319
136,pajeczno,51.1445,18.9961,16.49,65,100,3.18,PL,1712616558
137,saudarkrokur,65.7461,-19.6394,-4.26,90,64,2.49,IS,1712616463
138,luau,-10.7073,22.2247,18.57,96,83,1.55,AO,1712616558
139,dudinka,69.4058,86.1778,-7.4,95,99,4.92,RU,1712616558
140,hamilton,39.1834,-84.5333,24.48,52,75,4.63,US,1712615983
141,shihezi,44.3,86.0333,13.53,48,31,1.74,CN,1712616558
142,beira,-19.8436,34.8389,24.05,88,75,2.24,MZ,1712616558
143,cambridge,43.3601,-80.3127,17.38,48,0,3.6,CA,1712616518
144,talnakh,69.4865,88.3972,-7.66,96,100,3.03,RU,1712616480
145,corinto,37.9407,22.9573,17.35,53,0,1.89,GR,1712616558
146,alice springs,-23.7,133.8833,17.9,44,95,2.57,AU,1712616466
147,kaka,37.3482,59.6143,16.57,45,98,3.74,TM,1712616558
148,mogocha,53.7333,119.7667,-2.29,47,100,1.68,RU,1712616559
149,frolovo,49.7713,43.6622,12.44,63,76,3.68,RU,1712616559
150,grande prairie,55.1667,-118.8027,10.1,37,100,6.69,CA,1712616492
151,bom jesus,-9.0744,-44.3586,26.47,68,59,0.51,BR,1712616559
152,brokopondo,4.75,-55.1667,28.75,65,26,4.97,SR,1712616559
153,alaghsas,17.0187,8.0168,30.38,11,100,6.06,NE,1712616421
154,nikolayevsk,50.0282,45.4595,14.04,58,61,3.91,RU,1712616363
155,nadym,65.5333,72.5167,-16.69,93,13,4.69,RU,1712616559
156,likiep,9.8251,169.3107,27.1,84,95,10.02,MH,1712616559
157,iskateley,67.6803,53.1512,-18.88,100,89,2.24,RU,1712616559
158,inverness,57.4791,-4.224,8.95,81,100,1.03,GB,1712616560
159,vilyuchinsk,52.9306,158.4028,3.29,100,97,0.66,RU,1712616560
160,labuan,5.2767,115.2417,27.2,94,20,0.0,MY,1712616560
